id,message,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
47,"We often use the ROC curve and AUC as an evaluation metric for a classification problem, but what do these values actually mean when calculating it?  This blog clearly explains the ROC curve, followed by the area under the curve, the AUC.  https://mlwhiz.com/blog/2021/02/03/roc-auc-curves-explained/  #datascience #machinelearning",1,16,16,0,0,0,0,0,16
48,"This website (https://stanford.edu/~shervine/teaching/), by Afshine Amidi and Shervine Amidi, provides cheat sheets on the various branches of machine learning in an easily understandable format.   Go and have a look, especially the one on tips and tricks. This image is referenced from there.   #machinelearning #cheatsheets #tipsandtricks",1,23,21,2,0,0,0,0,21
49,You can listen to the part on Explore Data Science Academy here for those who missed the broadcast on Friday evening.  https://www.enca.com/shows/stuff-30-april-2021 (Part I),2,23,20,3,0,0,0,0,20
50,"If you are new to machine learning, this is an amazing article to read. It outlines different machine learning algorithms and explains when or where to use each model.  https://towardsdatascience.com/a-summary-of-the-basic-machine-learning-models-e0a65627ecbe  Image credit to the author of the article referenced.  #machinelearning #datascience",1,21,21,0,0,0,0,0,21
51,The news is spreading all over Africa. Read about our expansion into Nigeria in this article posted by CAJ News (Zimbabwe).  https://www.cajnews.co.zw/world-leading-data-science-institute-expands-to-africa/,0,33,33,0,0,0,0,0,33
52,"Explore Data Science Academy will be part of the broadcast this coming Friday, 30 April, at 21h30 on eNCA.",1,18,15,3,0,0,0,0,15
54,"Data storytelling takes data from a neutral form in a database and turns it into meaningful insights. These insights are then, in turn, used to make important business decisions. Data visualisations tools are essential to this process. This article discusses data visualisation and free data visualisation tools. https://www.softwareadvice.com/resources/free-open-source-data-visualization-tools/ #visualisationtools #datascience #datastorytelling",0,22,21,1,0,0,0,0,21
55,"“We have always cherished the goal of training young data scientists in other African countries and now, after four years of perfecting our training methods at home, we are ready to spread our wings into key African countries.” - Shaun Dippnall, CEO Explore Data Science Academy  https://techeconomy.ng/2021/04/explore-data-science-academy-launches-its-online-courses-in-nigeria/",1,23,21,2,0,0,0,0,21
56,https://www.bizcommunity.com/Article/196/66/214930.html,0,12,11,1,0,0,0,0,11
57,"BecomingHuman.AI has put together this comprehensive resource of downloadable cheat sheets for AI, Neural Networks, Machine Learning, Deep Learning & Data Science.   Here is the one on Neural Networks.  Cheat sheets on the other topics can be found here: https://becominghuman.ai/cheat-sheets-for-ai-neural-networks-machine-learning-deep-learning-big-data-science-pdf-f22dc900d2d7  #datascience #machinelearning #learning",2,11,10,1,0,0,0,0,10
