id,parent_id,message,created_time,updated_time,Total_Summary,Total _reactions_summary,Total_like_summary,Total_love_summary,Total_haha_summary,Total_wow_summary,Total_sad_summary,Total_angry_summary,Total_likes_summary,likes.summary.total_count_1
94,1,"Reminder to apply for the 1 year data science course starting in July! Learn to code, learn databases, learn dashboards and learn AI. We are Africa's leading Data Science Academy and boast top graduates in high paying jobs. APPLY NOW!  https://explore-datascience.net/long-courses/data-science/2",6/19/2020 20:00,6/20/2020 7:46,1,24,19,5,0,0,0,0,19,19
95,1,AI is built to solve problems. Business can leverage AI for superior results.   https://www.helpnetsecurity.com/2020/06/15/ai-adoption-business/,6/18/2020 20:00,6/19/2020 7:17,0,8,8,0,0,0,0,0,8,8
96,1,"An explosion of data along with cheaper storage, increased compute and stronger algorithms are driving the power of Data Science.  https://www.youtube.com/watch?v=7Qjd9h-JsQ0&list=PLXzqtyJRzR_Sx7uc1xtViCTFd_b88xrNV&index=14",6/18/2020 19:08,6/18/2020 19:08,0,3,3,0,0,0,0,0,3,3
97,1,"In the world of AI, there are so many divisions within the field.   https://www.nesta.org.uk/feature/ai-glossary/",6/17/2020 20:00,6/17/2020 20:00,0,8,7,1,0,0,0,0,7,7
98,1,Where is Data Science heading towards?  https://www.forbes.com/sites/cognitiveworld/2020/06/13/the-present-and-future-of-data-science-an-interview-with-anthony-scriffignano-senior-vice-president--chief-data-scientist-at-dun--bradstreet/#c952975c76a2,6/16/2020 20:00,6/16/2020 20:00,0,13,12,1,0,0,0,0,12,12
99,1,Apply for Africa's leading Data Science Course. 10 DAYS LEFT!   Launch your career. Learn Data Science.   https://explore-datascience.net/long-courses/data-science/1,6/15/2020 19:30,6/16/2020 16:59,0,11,9,1,0,1,0,0,9,9
100,1,Predict the future. Discover the power of machine learning at EXPLORE.  https://www.youtube.com/watch?v=8wVuOoP9qgk&feature=emb_logo,6/14/2020 17:45,6/14/2020 17:45,0,6,5,1,0,0,0,0,5,5
101,1,Register now for EXPLORE's 1 Year Data Science course online.  Starts 6 July. Places are limited.  https://www.youtube.com/watch?v=aeCGUxAcIWQ&feature=emb_logo,6/13/2020 13:50,6/19/2020 12:38,1,26,24,2,0,0,0,0,24,24
102,1,What are my opportunities after EXPLORE's comprehensive Data Science course?   https://youtu.be/it_Jt3xoM2I,6/12/2020 19:00,6/12/2020 19:00,0,15,13,2,0,0,0,0,13,13
103,1,"You've aced the EXPLORE data science program, a huge offer has come through and now you need to navigate the world. Here are some tips on how you can maximise your future data science career!  https://dataconomy.com/2020/05/lyft-data-scientist-shares-five-pieces-of-career-advice/",6/11/2020 20:00,6/11/2020 20:00,0,3,3,0,0,0,0,0,3,3
104,1,Ethical and responsible AI can make or break a data science project. We make sure our data scientists are compliant and learn about fair data models.  https://themetropolitan.metrostate.edu/2020/06/data-vs-lore-an-introduction-to-the-ethical-concerns-surrounding-artificial-intelligence/,6/10/2020 20:00,6/10/2020 20:00,0,5,5,0,0,0,0,0,5,5
106,1,Apply now for our cutting edge Data Science course delivered online. Starting 6 July 2020.  Join the revolution.  https://explore-datascience.net/long-courses/data-science/1,6/10/2020 9:59,6/11/2020 20:42,1,10,9,1,0,0,0,0,9,9
107,1,Our courses are built by professionals in the industry.   https://it-online.co.za/2019/06/18/thames-water-gains-strategic-analytics-from-sa-firm/,6/9/2020 20:00,6/9/2020 20:00,0,17,16,1,0,0,0,0,16,16
108,1,"Data Science is a future proof skill set, even after a pandemic.  https://www.analyticsinsight.net/data-ai-skills-witness-rise-demand-covid-19/",6/8/2020 20:00,6/8/2020 20:00,0,12,10,2,0,0,0,0,10,10
109,1,"South Africa's youth are talented. You are talented. Don't let your background define you.Upskill and reskill to master your future.  EXPLORE believes in tackling unemployment, and training in scarce skills.   ?? +90% employment ?? R360,000 Average starting salary ?? +400 alumni in the workforce",6/6/2020 20:30,6/30/2021 23:00,8,26,26,0,0,0,0,0,26,26
