Title,Published_date,Views,Likes,Comments,Name
Data Science Dojo Alumni - Patrick Moss,2018-04-13,273,7,0,Data Science Dojo
Data Science Dojo Alumni - Andres de Frutos Zambrano,2018-03-30,276,3,0,Data Science Dojo
Data Science Dojo Alumni - Russell Roefer,2018-03-27,170,4,0,Data Science Dojo
Data Manipulation with dplyr,2018-03-16,11430,120,10,Data Science Dojo
Data Science Dojo Alumni - Patrick Cronin,2018-03-15,213,3,2,Data Science Dojo
Data Science Dojo Alumni - Nicholas Noyer,2018-03-13,230,9,1,Data Science Dojo
Getting started with Python and R for Data Science,2018-02-27,13333,116,11,Data Science Dojo
Business Financial Case Study | Eytan Bensoussan | NorthOne,2018-02-26,999,7,3,Data Science Dojo
Data Science Dojo Alumni - James Maze,2018-02-22,280,4,0,Data Science Dojo
Feature Engineering | Introduction to dplyr Part 4,2018-01-27,7713,116,4,Data Science Dojo
Intersect & Setdiff Functions | Introduction to dplyr Part 3,2018-01-26,4856,61,3,Data Science Dojo
"Reshape, Subset, and Summarize Data | Introduction to dplyr Part 2",2018-01-25,20842,267,14,Data Science Dojo
Setup and Data Preparation | Introduction to dplyr Part 1,2018-01-24,12601,146,12,Data Science Dojo
Data Science Dojo Alumni - Khalid Alkhorayef,2018-01-19,408,11,1,Data Science Dojo
Data Science Dojo Alumni - Sanjay Jejurikar,2018-01-18,351,1,1,Data Science Dojo
Building a Business Case for your Machine Learning Idea,2018-01-12,4012,63,1,Data Science Dojo
Data Science Dojo Alumni - Mohamed Almoghalis,2017-12-29,197,1,0,Data Science Dojo
Data Science Dojo Alumni - Satakarni Bommuluri,2017-12-28,227,4,0,Data Science Dojo
Data Science Dojo Alumni - Nida Fuad,2017-12-28,334,5,0,Data Science Dojo
Ethical Dimensions of Data Science,2017-12-15,1603,12,0,Data Science Dojo
Data Science Dojo Alumni - Dipjyoti Das,2017-12-12,552,6,0,Data Science Dojo
Data Science Dojo Alumni - Elizabeth Burke,2017-12-08,556,8,1,Data Science Dojo
Data Science Dojo Alumni - Pavan Shah,2017-11-24,525,8,1,Data Science Dojo
